sent1,sent2,label,matrics
literal. Small businesses provide job opportunities and stability during economic downturns and corporate restructuring.,"metaphor. The Hidden Economy does not physically absorb workers, but provides them with opportunities for employment.",0,"[0.0625, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.14285714285714285, 0.0, 0.14285714285714285, 0.07042253521126761]"
"literal. Geographical proximity, cultural similarities, and historical context make absorption more feasible for South Korea.","metaphorical. Taiwan would be overwhelmed by the size and power of China, not physically absorbed.",0,"[0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.06666666666666667, 0.0, 0.06666666666666667, 0.03333333333333333]"
literal. - Demand may be low,"metaphorical. ""The market does not physically consume inventory, so it is a metaphorical usage.""",0,"[0, 0, 0, 0, 0.0, 0.0, 0.0, 0.07352941176470588]"
literal. The vitamins may not be broken down or utilized by the body's cells.,literal. Vitamins need to be absorbed in the body in order to be utilized.,0,"[0.21428571428571425, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.07142857142857142, 0.3333333333333333, 0.14285714285714285]"
"literal. The ground physically absorbed the shock waves, transferring the images to the metal surface.","literal. The ground physically absorbed the shock waves, transferring images to metal in bas-relief.",0,"[0.7980538111748767, 0.6445819244104773, 0.5431199548273467, 0.5078524252931034, 0.8, 0.6428571428571429, 0.8, 0.7254381058911261]"
literal. Because it describes the physical process of light being taken in by the stone.,"metaphorical. Light and flowers cannot physically absorb or sleep, indicating metaphorical interpretation.",0,"[0, 0, 0, 0, 0.13333333333333333, 0.0, 0.06666666666666667, 0.06802721088435373]"
literal. Because the executives are typically let go or relocated as part of the merger process.,"literal. The term ""absorbed"" is used in a business sense to describe companies being merged together.",0,"[0.0625, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.125, 0.0, 0.125, 0.0625]"
literal. Guest labor is needed to fill employment gaps left by demobilized soldiers in Iraq.,"metaphorically. Workers are not actually being soaked up, but rather employed or occupied.",0,"[0, 0, 0, 0, 0.06666666666666667, 0.0, 0.06666666666666667, 0.03378378378378378]"
literal. - Financial consolidation and stability,literal. Describing the process of one company taking on the assets and liabilities of others.,0,"[0.13333333333333333, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.0, 0.4, 0.14492753623188406]"
literal. To utilize excess capacity and retain skilled workers in the industry.,literal. The plants will physically take in and utilize the workers and production from elsewhere.,0,"[0.4, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5, 0.0, 0.25, 0.24390243902439024]"
literal. Montedison's unit was integrated into Ferruzzi's operations as part of a restructuring process.,"literal. ""Absorb"" is used in a literal sense to indicate a merger or acquisition.",0,"[0.14285714285714285, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.125, 0.0, 0.125, 0.07142857142857142]"
"literal. It refers to the integration of one company into another, not a literal absorption process.","literal. Actual merging of two companies, no figurative language or symbolism used.",0,"[0.11942188509563156, 1.594335087959687e-308, 1.594335087959687e-308, 1.594335087959687e-308, 0.1875, 0.0, 0.1875, 0.06410256410256411]"
literal. The man is deeply focused on something and not distracted by humor or wit.,"metaphorical. Absorbed is used to describe a mental state, not a physical act.",0,"[0.13190829525545253, 1.9077870467055724e-308, 1.9077870467055724e-308, 1.9077870467055724e-308, 0.13333333333333333, 0.0, 0.13333333333333333, 0.06756756756756756]"
literal. Olivetti took on the financial burden instead of passing it onto AT&T's computer business.,literal. The computer business had to take on and bear the burden of financial shortfalls.,0,"[0.4666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.47058823529411764, 0.0625, 0.29411764705882354, 0.23333333333333334]"
"literal. To allow time for processing, understanding, and reacting without immediate market volatility or panic.","metaphorically. Market participants cannot physically absorb news, so it is a figurative understanding.",0,"[0, 0, 0, 0, 0.13333333333333333, 0.0, 0.06666666666666667, 0.03378378378378378]"
literal. Absorb means to engage deeply with or be fully engrossed in something.,"metaphorical. The term ""absorbed"" suggests being engrossed or captivated, rather than physically soaked up.",0,"[0.14285714285714285, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3076923076923077, 0.0, 0.23076923076923078, 0.11450381679389314]"
"literal. Hutton's stock-picking performance was not as strong as Shearson's, leading to the absorption.","metaphorical. Companies do not physically absorb each other, it is a business merger or acquisition.",0,"[0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.058823529411764705, 0.0, 0.058823529411764705, 0.07092198581560283]"
literal. Beta carotene molecules have a specific structure that allows them to absorb blue laser light.,"literal. The pigment physically takes in blue light, as opposed to representing something else.",0,"[0.18575954994646748, 1.928867353251809e-308, 1.928867353251809e-308, 1.928867353251809e-308, 0.25, 0.0, 0.1875, 0.15822784810126583]"
literal. He has adopted and internalized the beliefs and priorities of the dovish left.,"metaphorical. Ideas and beliefs are not physical objects that can be absorbed, indicating a metaphorical usage.",0,"[0.12500000000000003, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.14285714285714285, 0.0, 0.14285714285714285, 0.07042253521126761]"
literal. The informal sector can provide job opportunities for surplus manpower in the country.,literal. Refers to the actual ability of the informal sector to take in excess workers.,0,"[0.3333333333333333, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.42857142857142855, 0.15384615384615385, 0.35714285714285715, 0.3024034672970843]"
literal. - Wheelabrator Technologies will take over ownership and management of Waste Management's projects.,"literal. The word ""absorb"" is used literally to indicate the acquisition of Waste Management's projects.",0,"[0.3333333333333333, 0.21428571428571425, 0.15384615384615385, 0.08333333333333333, 0.42857142857142855, 0.3076923076923077, 0.42857142857142855, 0.3432624113475177]"
literal. The company plans to incorporate the jobs into its existing private health-care operations.,"literal. Absorbing jobs means incorporating them into the private health-care business, not metaphorical transformation.",0,"[0.42857142857142855, 0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5333333333333333, 0.14285714285714285, 0.4, 0.3425655976676385]"
literal. Because it refers to the literal ability of the bank to take on and withstand losses.,"literal. ""Absorb"" is used in the context of financial losses, which can be quantified.",0,"[0.17295380292972626, 1.7958965995989704e-308, 1.7958965995989704e-308, 1.7958965995989704e-308, 0.23529411764705882, 0.0, 0.23529411764705882, 0.08982035928143713]"
literal. To consolidate power and eliminate competition within the left-wing political sphere.,metaphorical. The Socialist government did not physically absorb the French Communist Party.,0,"[0.08333333333333333, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.07692307692307693, 0.0, 0.07692307692307693, 0.041666666666666664]"
literal. Legal and financial obligations were transferred back to the original company after a temporary arrangement.,literal. The pension agency took on the financial burden before giving it back to LTV.,0,"[0.3118356616772059, 0.06682192750225839, 2.081572136844798e-308, 2.081572136844798e-308, 0.3125, 0.06666666666666667, 0.25, 0.23396226415094337]"
"literal. To indicate the physical process of taking in light energy, not a metaphorical absorption.","literal. The word ""absorb"" is used in a scientific context related to sunlight absorption.",0,"[0.26601793705829224, 2.0716834517485276e-308, 2.0716834517485276e-308, 2.0716834517485276e-308, 0.4, 0.0, 0.3333333333333333, 0.20134228187919467]"
literal. To pay for the acquisition and cover operational costs.,"metaphorical. The company will take on a significant amount of debt, not physically absorb it.",0,"[0, 0, 0, 0, 0.1, 0.0, 0.1, 0.04761904761904763]"
literal. To cover the remaining costs without passing them onto customers.,literal. Absorbing the balance would involve taking on the financial burden of the remaining costs.,0,"[0.2, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.36363636363636365, 0.2, 0.36363636363636365, 0.22417153996101363]"
literal. 1. To ensure continuity and a smooth transition for employees.,literal. Refers to taking in or incorporating CN Hotels' current employees into Canadian Pacific Hotels.,0,"[0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2727272727272727, 0.0, 0.2727272727272727, 0.08771929824561403]"
literal. Exchange rate fluctuations help cushion impact of real shocks on economy.,"literal. The term ""absorb"" is used literally to describe the exchange rate absorbing real shocks.",0,"[0.2, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4166666666666667, 0.18181818181818182, 0.4166666666666667, 0.25660569105691056]"
"literal. ""Absorb"" is used non-metaphorically to indicate the financial ability to handle future loan losses.","literal. The term ""absorb"" is used in a financial context to describe taking on losses.",0,"[0.4, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5, 0.13333333333333333, 0.4375, 0.42083333333333334]"
literal. Literal meaning of absorbing losses and not metaphorical transfer of responsibility or burden.,literal. Banks physically take on the financial burden of losses from bad credits.,0,"[0.21368332584053448, 2.060331790082205e-308, 2.060331790082205e-308, 2.060331790082205e-308, 0.2857142857142857, 0.0, 0.21428571428571427, 0.10791366906474818]"
"literal. Limited infrastructure, resources, and economic stability hinder these countries' ability to absorb rapid population growth.","literal. Developing countries lack resources, infrastructure, and systems to accommodate rapid population growth.",0,"[0.48856778942643153, 0.13232044296965856, 0.07217478707435919, 1.7665365515873297e-308, 0.5625, 0.13333333333333333, 0.4375, 0.4020700636942675]"
