sent1,sent2,label,matrics
literal. Small businesses provide job opportunities and stability during economic downturns and corporate restructuring.,"literal. Because it refers to the growth of the Hidden Economy, which is not physically expanding but expanding due to the growth of small, private businesses",0,"[0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.21428571428571427, 0.0, 0.21428571428571427, 0.06578947368421054]"
"literal. Geographical proximity, cultural similarities, and historical context make absorption more feasible for South Korea.","literal. Economic growth, population growth, infrastructure development, and international trade opportunities",0,"[0.1263898051634325, 1.54674658298039e-308, 1.54674658298039e-308, 1.54674658298039e-308, 0.13333333333333333, 0.0, 0.13333333333333333, 0.0684931506849315]"
literal. - Demand may be low,literal. Lack of proper planning or zoning can cause problems with inventory storage and demand,0,"[0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.0, 0.4, 0.14492753623188406]"
literal. The vitamins may not be broken down or utilized by the body's cells.,"literal. Because they are not physically absorbed into the body, but released into the environment",0,"[0.2, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.07142857142857142, 0.26666666666666666, 0.1773049645390071]"
"literal. The ground physically absorbed the shock waves, transferring the images to the metal surface.",literal. The ground is physically absorbing the shock waves and creating images on the metal in a literal sense,0,"[0.47368421052631576, 0.2222222222222222, 0.0588235294117647, 2.2250738585072626e-308, 0.7333333333333333, 0.5, 0.7333333333333333, 0.48311688311688317]"
literal. Because it describes the physical process of light being taken in by the stone.,literal. Metaphorically refers to resting or resting silently in silence,0,"[0.1213061319425267, 1.3495755153097447e-308, 1.3495755153097447e-308, 1.3495755153097447e-308, 0.13333333333333333, 0.0, 0.13333333333333333, 0.06896551724137931]"
literal. Because the executives are typically let go or relocated as part of the merger process.,"literal. Executives leave the companies due to conflicts or differences in opinion, not because they are physically absorbing resources",0,"[0.21052631578947367, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.375, 0.0, 0.1875, 0.18404907975460122]"
literal. Guest labor is needed to fill employment gaps left by demobilized soldiers in Iraq.,"literal. Increased demand for work, job loss, military demobilization, and economic downturn all contribute to lower demand for guest labor",0,"[0.15, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.07142857142857142, 0.2, 0.24000000000000005]"
literal. - Financial consolidation and stability,literal. To provide financial support and stability to the troubled thrifts,0,"[0.2727272727272727, 0.10000000000000002, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.8, 0.25, 0.8, 0.48557692307692313]"
literal. To utilize excess capacity and retain skilled workers in the industry.,literal. To employ workers and production capacity to meet demand and maintain operations,0,"[0.38461538461538464, 0.08333333333333333, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4166666666666667, 0.09090909090909091, 0.3333333333333333, 0.20661157024793386]"
literal. Montedison's unit was integrated into Ferruzzi's operations as part of a restructuring process.,literal. Decrease in demand or increase in competition,0,"[0.05904581909262685, 1.051050468137224e-308, 1.051050468137224e-308, 1.051050468137224e-308, 0.0625, 0.0, 0.0625, 0.03731343283582089]"
"literal. It refers to the integration of one company into another, not a literal absorption process.",literal. To consolidate operations and focus on specific industries,0,"[0.05104731378176962, 1.022256390985498e-308, 1.022256390985498e-308, 1.022256390985498e-308, 0.125, 0.0, 0.125, 0.06535947712418301]"
literal. The man is deeply focused on something and not distracted by humor or wit.,"literal. The speaker is focused and engrossed in his work, unable to laugh at himself",0,"[0.3333333333333333, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.07142857142857142, 0.3333333333333333, 0.248]"
literal. Olivetti took on the financial burden instead of passing it onto AT&T's computer business.,literal. Olivetti's actions caused problems for AT&T's computer business,0,"[0.17113903967753066, 0.06417713987907402, 1.142391010069532e-308, 1.142391010069532e-308, 0.4117647058823529, 0.3125, 0.4117647058823529, 0.17746913580246912]"
"literal. To allow time for processing, understanding, and reacting without immediate market volatility or panic.",literal. To allow for thorough analysis and debate within the market,0,"[0.37916941549029753, 0.13902878567977578, 0.07723821426654208, 1.54674658298039e-308, 0.4, 0.14285714285714285, 0.4, 0.350076103500761]"
literal. Absorb means to engage deeply with or be fully engrossed in something.,metaphor. To emphasize the contrast between the two men's personalities and beliefs,0,"[0, 0, 0, 0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.03875968992248062]"
"literal. Hutton's stock-picking performance was not as strong as Shearson's, leading to the absorption.","literal. Shearson Lehman Brothers acquired the business earlier in the year, while Hutton continues to operate as a separate company",0,"[0.2, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.35294117647058826, 0.0, 0.17647058823529413, 0.136986301369863]"
literal. Beta carotene molecules have a specific structure that allows them to absorb blue laser light.,"literal. The word ""absorb"" is used non-metaphorically to describe the pigment's ability to absorb blue light",0,"[0.25, 0.13333333333333333, 0.07142857142857141, 2.2250738585072626e-308, 0.3125, 0.13333333333333333, 0.3125, 0.234375]"
literal. He has adopted and internalized the beliefs and priorities of the dovish left.,"literal. Because it refers to the act of studying or studying closely for something, not a literal physical act of absorbing information",0,"[0.13636363636363635, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.21428571428571427, 0.0, 0.21428571428571427, 0.10135135135135134]"
