sent1,sent2,label,matrics
literal. It is referring to the physical planning and arrangement of city transport systems.,"literal. Refers to the actual design of a city's transport system, specifically tram tracks.",0,"[0.30769230769230765, 0.08333333333333333, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5384615384615384, 0.25, 0.5384615384615384, 0.3931623931623932]"
"metaphor. The phrase ""crossed lines"" is used metaphorically to suggest confusion or disruption in city transport.","literal. Refers to physical tram tracks, implying a design element.",1,"[0.05704634655917688, 1.142391010069532e-308, 1.142391010069532e-308, 1.142391010069532e-308, 0.06666666666666667, 0.0, 0.06666666666666667, 0.034722222222222224]"
metaphor. Represents a plan or path for improving city transport system.,"metaphor. ""Lines"" refers to conflicting opinions or approaches, not physical lines.",1,"[0.10000000000000002, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.1, 0.0, 0.1, 0.05000000000000001]"
"literal. Because it refers to an actual toy town tram system, not a metaphorical representation.","metaphor. ""Toytown"" conveys a sense of small-scale, simplistic, or childish, rather than a real town.",0,"[0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.14285714285714285, 0.0, 0.07142857142857142, 0.07142857142857142]"
"literal. The article is discussing the design of a real tram system, not a metaphorical concept.",literal. Refers to a specific mode of transportation in a city.,0,"[0.18195919791379003, 1.3495755153097447e-308, 1.3495755153097447e-308, 1.3495755153097447e-308, 0.2, 0.0, 0.13333333333333333, 0.10344827586206895]"
literal. The article is discussing literal changes to city transport infrastructure.,literal. Refers to a physical urban area with transportation systems.,0,"[0.09942659075715217, 1.991083571408152e-308, 1.991083571408152e-308, 1.991083571408152e-308, 0.2, 0.0, 0.2, 0.10101010101010102]"
"literal. The article is discussing actual transportation improvements in the city, not using a metaphor.",literal. Refers to the physical movement of people or goods within a city.,0,"[0.141080287481769, 1.8834843577582417e-308, 1.8834843577582417e-308, 1.8834843577582417e-308, 0.21428571428571427, 0.0, 0.14285714285714285, 0.07246376811594203]"
literal. The statement is literal and refers to the possibility of improved city transport in the future.,"metaphor. ""could"" implies potential for improvement, not physical ability to be on a track.",0,"[0.06107097367830394, 1.7665365515873297e-308, 1.7665365515873297e-308, 1.7665365515873297e-308, 0.125, 0.0, 0.0625, 0.03184713375796178]"
literal. Indicates a high likelihood or probability of city transport improvements happening in the near future.,"metaphor. ""Soon"" implies a figurative near future, rather than a specific, exact time.",0,"[0.12980013051190084, 1.7328892633971685e-308, 1.7328892633971685e-308, 1.7328892633971685e-308, 0.2, 0.07142857142857142, 0.2, 0.06802721088435373]"
"literal. The verb ""be"" is used non-metaphorically to indicate the state or existence of city transport.","metaphor. ""be"" represents a return to a correct or desirable state, not physical movement.",0,"[0.19786244288317878, 1.9077870467055724e-308, 1.9077870467055724e-308, 1.9077870467055724e-308, 0.25, 0.0, 0.1875, 0.10135135135135136]"
