literal. Small businesses provide job opportunities and stability during economic downturns and corporate restructuring.,"literal. Because it refers to the growth of the Hidden Economy, which is not physically expanding but expanding due to the growth of small, private businesses",2
"literal. Geographical proximity, cultural similarities, and historical context make absorption more feasible for South Korea.","literal. Economic growth, population growth, infrastructure development, and international trade opportunities",1
literal. - Demand may be low,literal. Lack of proper planning or zoning can cause problems with inventory storage and demand,2
literal. The vitamins may not be broken down or utilized by the body's cells.,"literal. Because they are not physically absorbed into the body, but released into the environment",2
"literal. The ground physically absorbed the shock waves, transferring the images to the metal surface.",literal. The ground is physically absorbing the shock waves and creating images on the metal in a literal sense,3
literal. Because it describes the physical process of light being taken in by the stone.,literal. Metaphorically refers to resting or resting silently in silence,2
literal. Because the executives are typically let go or relocated as part of the merger process.,"literal. Executives leave the companies due to conflicts or differences in opinion, not because they are physically absorbing resources",2
literal. Guest labor is needed to fill employment gaps left by demobilized soldiers in Iraq.,"literal. Increased demand for work, job loss, military demobilization, and economic downturn all contribute to lower demand for guest labor",2
literal. - Financial consolidation and stability,literal. To provide financial support and stability to the troubled thrifts,3
literal. To utilize excess capacity and retain skilled workers in the industry.,literal. To employ workers and production capacity to meet demand and maintain operations,2
literal. Montedison's unit was integrated into Ferruzzi's operations as part of a restructuring process.,literal. Decrease in demand or increase in competition,1
"literal. It refers to the integration of one company into another, not a literal absorption process.",literal. To consolidate operations and focus on specific industries,2
literal. The man is deeply focused on something and not distracted by humor or wit.,"literal. The speaker is focused and engrossed in his work, unable to laugh at himself",2
literal. Olivetti took on the financial burden instead of passing it onto AT&T's computer business.,literal. Olivetti's actions caused problems for AT&T's computer business,3
"literal. To allow time for processing, understanding, and reacting without immediate market volatility or panic.",literal. To allow for thorough analysis and debate within the market,2
literal. Absorb means to engage deeply with or be fully engrossed in something.,metaphor. To emphasize the contrast between the two men's personalities and beliefs,1
"literal. Hutton's stock-picking performance was not as strong as Shearson's, leading to the absorption.","literal. Shearson Lehman Brothers acquired the business earlier in the year, while Hutton continues to operate as a separate company",2
literal. Beta carotene molecules have a specific structure that allows them to absorb blue laser light.,"literal. The word ""absorb"" is used non-metaphorically to describe the pigment's ability to absorb blue light",3
literal. He has adopted and internalized the beliefs and priorities of the dovish left.,"literal. Because it refers to the act of studying or studying closely for something, not a literal physical act of absorbing information",2
literal. The informal sector can provide job opportunities for surplus manpower in the country.,literal. Literal use to describe the country's reliance on labor exports and temporary labor sources to address unemployment,2
literal. - Wheelabrator Technologies will take over ownership and management of Waste Management's projects.,literal. To consolidate operations and focus resources on more profitable projects,1
literal. The company plans to incorporate the jobs into its existing private health-care operations.,"literal. The word ""absorb"" is used non-metaphorically to mean to take in or incorporate something",2
literal. Because it refers to the literal ability of the bank to take on and withstand losses.,literal. Equity capital is a precise and quantifiable measure of a bank's financial strength and resilience,2
literal. To consolidate power and eliminate competition within the left-wing political sphere.,literal. To eliminate competition and consolidate power,3
literal. Legal and financial obligations were transferred back to the original company after a temporary arrangement.,"literal. Pension agency absorbed financial shortfall, returned responsibility to steelmaker for plans",1
"literal. To indicate the physical process of taking in light energy, not a metaphorical absorption.",literal. To describe the process of absorbing or reflecting sunlight,3
literal. To pay for the acquisition and cover operational costs.,literal. To cover debt and maintain financial stability,2
literal. To cover the remaining costs without passing them onto customers.,literal. The sentence is referring to Illinois Power having to absorb the cost of the increase,2
literal. 1. To ensure continuity and a smooth transition for employees.,literal. To ensure continued success and stability of the joint venture,2
literal. Exchange rate fluctuations help cushion impact of real shocks on economy.,literal. Stable price and exchange rate stability allow for rapid economic growth and stability,2
"literal. ""Absorb"" is used non-metaphorically to indicate the financial ability to handle future loan losses.",literal. To increase the combined institution's resilience and prevent losses,2
literal. Literal meaning of absorbing losses and not metaphorical transfer of responsibility or burden.,literal. Banks are able to absorb losses due to bad debts without passing them on to customers,2
"literal. Limited infrastructure, resources, and economic stability hinder these countries' ability to absorb rapid population growth.","literal. Lack of infrastructure, economic barriers, and limited resources contribute to slow growth in these regions",3
literal. Bally needs more employees for their growing fitness equipment manufacturing businesses.,literal. To create job opportunities and expand Bally's business into new markets,2
literal. Because the company has the capacity and resources to integrate the new jobs into its existing business.,"literal. The word ""absorb"" is used non-metaphorically to mean to take in or incorporate something",2
"literal. Slow demand, oversupply, economic uncertainty, high competition, limited financing options.","literal. Limited supply, high demand, lack of competition, changing market trends",2
metaphor. Exchange rates adjust quicker than price levels to absorb shocks from changes in terms of trade.,literal. To indicate the impact of the unexpected change on the market,1
"metaphor. Soybean industry is larger and more resilient, able to weather temporary difficulties.","literal. Sunflower industry is physically larger and more diversified than soybean industry, able to withstand setbacks",2
metaphor. Metaphorically refers to understanding and internalizing information or knowledge.,metaphor. Metaphorically used to indicate understanding and retention of information or concept,3
metaphor. Cincinnati residents embrace diversity and adapt to new cultural influences through food and music.,metaphor. Cincinnati residents have adapted and integrated into the local economy and culture,2
"metaphor. Maintain competitive pricing, protect market share, avoid losing customers, absorb costs for long-term gains.",literal. To increase profits or avoid competition in the market,2
"metaphor. Market is able to withstand selling pressure and continues to rise, showing strength and bullish sentiment.",literal. The market is able to withstand heavy selling and come back stronger due to investor confidence and demand,2
metaphor. Mr. Jackson has accepted and internalized both positive and negative information from the press.,literal. Mr. Jackson is able to take in information and apply it to his own needs and goals,2
metaphor. Gen. Jaruzelski has not fully understood or internalized the impact of the strikes in May.,literal. Gen. Jaruzelski is not changing his style or approach to warfare,2
"metaphor. It consumes a significant portion of her income, leaving little for other expenses.",literal. The cost of housing is a significant portion of her income,2
metaphor. Agencies may struggle to cover full cost without impacting other programs or services.,literal. Increase in costs must be shared by agencies,2
metaphor. To indicate merging or taking over another entity.,literal. It refers to the action of acquiring an asset or business for investment or expansion,2
metaphor. To eliminate competition and control religion in Ukraine.,literal. Stalin forced the Russian Orthodox Church to accept the Ukrainian Catholic Church as a part of its territory,2
metaphor. To cover costs and maintain profitability.,literal. Because they are responsible for managing the money and absorbing the costs,2
literal. The tenant was physically attacked by the pet monkey owned by other renters.,"literal. The word ""assaulted"" is used non-metaphorically to describe physical contact or harm caused to the tenant by the monkey",3
literal. Because it refers to physical violence and intentional harm towards another person.,literal. Mr. Tyson denies that he attempted to harm or cause death to himself or his wife,2
literal. To emphasize the severity of the threat to women's safety and the urgent need for protection.,literal. To emphasize the seriousness of the threat and the importance of taking preventative measures,3
"literal. Because it refers to a specific criminal act, not a figurative or symbolic action.",literal. To avoid causing controversy and maintain credibility with the public,2
"metaphor. Different political agendas, prioritizing different issues, questioning effectiveness of aid programs.",literal. to criticize or object to government actions or policies,2
"metaphor. The term ""assault"" is used metaphorically to emphasize the importance of peaceful and respectful government functioning.",literal. To describe a physical assault or threat to government authority or function,2
metaphor. Disappointment with results of perestroika led to verbal assaults on Gorbachev in Krasnoyarsk.,"metaphor. Lack of access to resources, dissatisfaction with government's performance, desire to assert control over economic life",1
"literal. Gramm believes in plant stress research over weed center funding, supporting his agenda.",literal. To describe a strong and aggressive stance against federal funding for the weed center,2
literal. Different political stances and actions between the two versions of Francois Mitterrand.,literal. Mr. Chirac was referring to criticizing or opposing the current French government and not a specific individual,2
literal. 1. Dependent on good will,literal. Because it implies a deliberate and aggressive action towards a particular individual or group,1
literal. Different perspectives within the executive branch on the use of independent counsels.,literal. To defend or assert their own rights and interests,1
literal. Because it describes a verbal or written criticism or opposition towards the governor's policies.,literal. He is referring to a strong and aggressive criticism or confrontation,3
literal. To indicate physical violence or harm intended to be inflicted on a specific target.,"literal. The word ""attack"" is used non-metaphorically because it refers to a physical assault on a target",3
literal. To describe a physical act of aggression or violence towards the Norwegian tanker.,literal. To describe a physical or verbal assault on a vessel,3
