It is referring to the physical planning and arrangement of city transport systems.,"Refers to the actual design of a city's transport system, specifically tram tracks.",3,0
"The phrase ""crossed lines"" is used metaphorically to suggest confusion or disruption in city transport.","Refers to physical tram tracks, implying a design element.",2,1
Represents a plan or path for improving city transport system.,"""Lines"" refers to conflicting opinions or approaches, not physical lines.",2,1
"Because it refers to an actual toy town tram system, not a metaphorical representation.","""Toytown"" conveys a sense of small-scale, simplistic, or childish, rather than a real town.",2,0
"The article is discussing the design of a real tram system, not a metaphorical concept.",Refers to a specific mode of transportation in a city.,2,0
The article is discussing literal changes to city transport infrastructure.,Refers to a physical urban area with transportation systems.,2,0
"The article is discussing actual transportation improvements in the city, not using a metaphor.",Refers to the physical movement of people or goods within a city.,2,0
The statement is literal and refers to the possibility of improved city transport in the future.,"""could"" implies potential for improvement, not physical ability to be on a track.",2,0
Indicates a high likelihood or probability of city transport improvements happening in the near future.,"""Soon"" implies a figurative near future, rather than a specific, exact time.",2,0
"The verb ""be"" is used non-metaphorically to indicate the state or existence of city transport.","""be"" represents a return to a correct or desirable state, not physical movement.",2,0
"City transport is improving, returning to a better state than before.","""back"" refers to a return to a correct or desirable state, not physical movement.",2,1
"It refers to the direction or alignment of city transport, not a metaphorical concept of correctness.","""Right track"" is an idiomatic expression meaning ""correct course"" or ""improvement"".",2,0
"Metaphor for progress, improvement, or alignment with goals or objectives.","""Track"" refers to a path or direction, not a physical rail track.",2,1
"The word ""say"" is used non-metaphorically to indicate a statement or assertion made by Jonathan Glancey.","""says"" is used to attribute the quote, not a physical act of speaking.",2,0
- Modern trams have advanced technology and design for a smoother ride.,The sentence is describing the physical characteristics of modern trams.,2,0
Modern trams are built with advanced technology and better suspension systems.,"""Most"" refers to a quantifiable majority of continental Europeans, not a figurative concept.",1,0
- Improved technology,"Refers to people from the continent of Europe, not using a figurative sense.",1,0
"Modern trams have advanced technology and smoother operations, reducing shaking, rattling, and rolling.","""know"" implies familiarity or awareness, not direct sensory experience.",1,0
Improved technology and design reduce vibrations and noise in modern tram systems.,"The sentence is describing the physical movement of trams, contrasting with expected behavior.",2,0
"Modern trams are built with advanced technology and materials, reducing noise and vibrations.","""Rattle"" describes a physical sound and movement, contrasting with ""shake"" and ""roll"".",1,0
"Modern trams are built with advanced technology and design to minimize shaking, rattling, and rolling.","""do"" is used to maintain rhythm and parallelism with ""shake"", ""rattle"", and ""roll"".",2,0
Modern trams have advanced suspension systems and smooth tracks for stability and comfort.,"Refers to the physical movement of trams, contrasting with shaking and rattling.",2,0
"Efficient, stylish, environmentally friendly, suitable for urban areas, and low maintenance.","""Sleek"" describes the physical appearance of the object (vehicle), implying a streamlined shape.",2,1
