sent1,sent2,label
"metaphor. Because knowledge and beliefs cannot be physically absorbed, but rather learned and internalized.",metaphorical. Knowledge and beliefs cannot be physically absorbed like a liquid or gas.,1
metaphor. To indicate taking on or assuming responsibility for the financial burden or consequences.,metaphorical. Costs cannot actually be physically absorbed; it means he paid for them.,1
metaphor. The sales tax is included in the state income tax without being separately identified.,"metaphor. Sales tax is not physically absorbed, but rather integrated or included within state income tax.",1
"metaphor. It implies excessive or harmful use, not physical harm.","literal. Describes physically harmful behavior towards alcohol, not a metaphorical concept.",1
"literal. Physical, emotional, or verbal mistreatment of employees is occurring in the workplace.","literal. The term ""abuses"" is used to describe mistreatment or exploitation of workers.",0
literal. It is describing a formal recognition or acceptance of the authors' submission.,literal. The program committee actually recognized and accepted the submission from the authors.,0
"literal. ignorance, lack of respect, indifference, arrogance, disinterest",literal. Acknowledging someone in a hallway is a concrete action that can be observed.,0
literal. It is used literally to mean to recognize or admit the existence of the deed.,"literal. ""Deed"" refers to a physical action or document, suggesting a literal acknowledgment.",0
literal. It is a literal instruction to respond to a specific action or request.,"literal. ""Answer"" in this context means to pick up the phone and respond to the call.",0
literal. The meaning of life is subjective and can vary greatly from person to person.,"literal. The word ""answered"" is used in its literal sense of responding to a question.",0
"literal. Describing physical movement, not highlighting abstract concepts or emotions.","literal. The word ""ascend"" is used to describe physically climbing up a mountain.",0
metaphor. The editors criticized or criticized harshly the new House Speaker.,"literal. The word ""attack"" is often used in a figurative sense in political discourse.",1
"metaphor. It implies an aggressive approach, urgency, and determination to solve the problem immediately.",metaphor. The problem is not a physical entity that can be physically attacked.,1
"literal. Describes a physical act of aggression or violence, not a metaphorical or symbolic action.","literal. The word ""attacked"" is describing a physical assault on the village by the Serbs.",0
"metaphor. Press photographers crowded around the movie star, overwhelming them with attention and requests.",literal. The press photographers physically surrounded and crowded the movie star for photographs.,1
literal. Literal action of physically wrapping and compressing the feet to restrict growth and movement.,"literal. The statement describes a physical action done to the women's feet, not a metaphorical concept.",0
"metaphor. The spaceship is not actually on fire, but moving quickly and brightly through space.","literal. Spaceships do not actually produce fire, so ""blazed"" is a metaphor for speed.",1
metaphor. To criticize severely or rebuke harshly.,"metaphor. The word ""blistered"" implies strong criticism or rebuke, not a physical action.",1
"literal. ""Blur"" literally describes a visual impairment caused by the fog obstructing clear sight.","literal. Fog physically obstructs sight, causing objects to appear out of focus.",0
"metaphor. To consume too quickly or hastily, like a bolt of lightning or a bolt of food.","literal. Referring to physically eating quickly, not a metaphor for something else.",1
literal. It is a technical term related to increasing the voltage in an electrical circuit.,"literal. The word ""boost"" is used to describe physically increasing the voltage in the circuit.",0
metaphor. To physically eject or remove individuals from the club premises.,"literal. The word ""bounce"" is used in its literal sense of physically removing someone forcefully.",1
literal. Describing the physical action of the ball rebounding off a surface.,"literal. The word ""bounced"" is describing the physical action of the rubber ball rebounding off a surface.",0
literal. To show respect and honor.,literal. The action of bowing physically involves bending at the waist as a sign of respect.,0
metaphor. It allows air flow and keeps the wearer cool and comfortable in hot weather.,"literal. The fabric allows air to pass through, making it comfortable to wear in summer.",1
literal. To allow the wine to aerate and release its aromas and flavors.,"literal. Wine needs oxygen to release flavors and aromas, a process known as aeration.",0
literal. Physical action of moving a brush against a surface is being described accurately.,literal. The action of brushing the wall is described in a straightforward and realistic manner.,0
"literal. The word ""brush"" is used non-metaphorically because it describes a physical action being performed.","literal. The word ""brushed"" is describing a physical action of cleaning the suit.",0
"metaphor. Creating and developing a stable, functional society with infrastructure, institutions, and systems for governance.",literal. Building a nation involves physical construction and development of infrastructure and institutions.,1
"metaphor. The tension and anticipation were increasing gradually, creating a sense of excitement and anticipation.",metaphorical. Suspense is not a physical structure that can be built; it is intensifying.,1
literal. Literal use: physically constructing new school buildings to provide education infrastructure for residents.,"literal. ""Building"" new schools refers to physically constructing them, not using metaphorical language.",0
"metaphor. ""Buy"" means believe or accept, not purchase.","literal. Refers to purchasing something, indicating the speaker does not believe the story.",1
"literal. Literal transactional context, indicating the exchange of dedication for love with material goods or services.","metaphor. Love cannot be bought, indicating a symbolic or non-literal intention in the sentence.",0
"metaphor. The office is busy with energetic and lively activity, creating a buzzing atmosphere.",metaphor. The office cannot physically buzz; it implies a high level of energy and movement.,1
literal. Describing the sound of bees flying and moving around the hive.,literal. Bees are insects known to make a buzzing sound as they fly.,0
"metaphor. Metaphorically means she charmed or attracted them, not physically captured them.","metaphorical. Hearts cannot be physically captured, implying an emotional impact on the men.",1
"metaphor. To convey a sense of struggle, determination, effort, and perseverance in reaching a goal.","metaphor. Humans do not have claws, therefore the use of ""claw"" is metaphorical.",1
metaphor. To show aggressive and ruthless behavior in attacking or criticizing the rival.,literal. Physically impossible for a politician to claw someone due to lack of claws.,1
metaphor. Sales were increasing rapidly after prices were reduced.,"metaphorical. Sales cannot physically climb, indicating an increase in sales over time.",1
metaphor. To convey the idea of upward progression or advancement.,"literal. ""climbed"" describes physical movement up the hill, not a metaphorical concept.",1
"metaphor. Fear does not physically block the mind, but overwhelms and hinders clear thinking.","metaphorical. Fear cannot physically clog the mind, implying a blockage of thoughts or emotions.",1
metaphor. To describe the restriction or slowing down of movement until they were trained and controlled.,"literal. Horses cannot physically be clogged, indicating a metaphorical usage is not present.",1
literal. The leaves physically block the flow of water in the drains.,"literal. Leaves physically block the flow of water in drains, causing a clog.",0
"metaphor. Clouds represent darkness, obscurity, and heaviness, mirroring the emotions of sadness on their faces.","metaphor. Faces cannot physically be clouded with sadness, indicating a metaphorical use of ""clouded.""",1
metaphor. To show how the stroke affected her memory or made it unclear and confused.,"metaphorical. Memories cannot physically be clouded, indicating a mental fog or confusion.",1
"literal. Describing physical appearance, not using cloud as metaphor for emotions or thoughts.","literal. The word ""smoke"" implies a physical cloud of smoke rising above the houses.",0
metaphor. It suggests his ideas influence and shape the content and perspective of his lectures.,"metaphor. His political ideas influence the tone and perspective of his lectures, not physically coloring them.",1
literal. Describing the physical action of adding color to the walls with paint.,"literal. ""Color"" is used to instruct painting the walls with actual paint, not figuratively altering them.",0
metaphor. Disease is not a literal message but can be transmitted like communication.,literal. Diseases can be physically transmitted through various means of communication.,1
"literal. Possible reasons could include a strained relationship, lack of effort, or unresolved conflict.",literal. The word is used to describe a lack of verbal or written communication between individuals.,0
literal. The sentence describes a literal act of sharing information or feelings with another person.,"literal. The word ""communicated"" is used in a straightforward manner to indicate speaking with someone.",0
literal. Both are historical societies with similar levels of power and influence in their respective regions.,literal. It is used to analyze similarities and differences between two historical periods.,0
"literal. The car is inferior in quality, performance, and luxury compared to our Mercedes line.",literal. Comparing the car to the line of Mercedes based on features and quality.,0
literal. The statement is a factual description of Beethoven's creative process in writing music.,"literal. Beethoven physically wrote and created nine symphonies, not using a metaphorical meaning.",0
"literal. Literal instruction for using a digital or electronic dictionary, not a metaphorical or symbolic meaning.",literal. Refers to using a dictionary that is in electronic format or stored on a computer.,0
"literal. Referring to the process of automating tasks using computer technology, not a metaphorical transformation.",literal. The sentence is describing the process of implementing computers and technology in the car industry.,0
"metaphor. Limited time, urgency, need for quick action, efficiency, simplification, prioritization, streamlining processes.","literal. The plan was physically shortened in time, without any metaphorical language used.",1
"metaphor. Feelings cannot physically condense; metaphorically indicates intense, concentrated emotions or thoughts.",metaphor. Feelings cannot physically condense; this refers to emotions becoming more intense or concentrated.,1
literal. Refers to the physical process of matter coming together due to gravity and cooling.,literal. Refers to physical process of planets forming from material in space.,0
"metaphor. Earthquakes cause violent shaking and disruption, similar to convulsions in the body.","literal. Earthquakes physically shake and disrupt the land, causing convulsions in the countryside.",1
"literal. It describes involuntary muscle spasms or contractions, not a metaphorical expression of emotion.","literal. The word ""convulsed"" implies a sudden, involuntary contraction of muscles, which is a literal action.",0
"metaphor. Maggots were covering the cheese, appearing to move slowly like they were crawling.","literal. Maggots are physically moving on the cheese, indicating a literal interpretation.",1
literal. The crocodile is a real animal that physically moves along the riverbed.,"literal. Crocodiles physically move by crawling along the riverbed, not metaphorically.",0
"metaphor. It signifies the pinnacle of the meeting, highlighting its importance and impact on attendees.","metaphor. A speech cannot physically crown a meeting, it symbolically represents the highlight or conclusion.",1
"literal. Literal ceremony, traditional symbol of royalty, official recognition of power and authority.",literal. The prince was literally given a crown as a symbol of his royal status.,0
"literal. The action of crushing physically occurred, no emotional or romantic connotation present.","literal. The word ""crushed"" is describing a physical action that actually occurred.",0
"literal. Literal action of physically flattening or compacting the can, no emotional or romantic connotation.",literal. The action of physically flattening an aluminum can is meant to be taken literally.,0
literal. It is a physical action that involves manipulating hair into curls.,literal. Refers to physically curling hair using a curling iron or other hair styling tool.,0
"literal. Describing the action of splashing or sprinkling paint, not indicating speed or urgency.",literal. Describes the physical act of splashing white paint onto blue paint.,0
metaphor. To decrease the value or purchasing power of the currency.,"literal. The term ""deflate"" is used in its literal sense to mean reducing the value of the currency.",1
metaphor. The measures caused a decrease in economic activity or confidence.,"metaphor. The term ""deflated"" is used to describe a decrease in the economy, not a physical deflation.",1
literal. Because balloons can physically lose air and decrease in size.,"literal. Balloons can physically deflate by releasing air, without any metaphorical meaning.",0
literal. To describe a physical creation or product.,literal. Chanel physically created and planned the famous suit.,0
"metaphor. Because she read them eagerly and quickly, showing a strong interest and enjoyment in his work.","literal. The word ""devoured"" is often used metaphorically to mean read quickly and eagerly.",1
"literal. Literal action of eating, no indication of figurative consumption or destruction.","literal. The word ""devoured"" is commonly used to describe eating quickly and eagerly.",0
metaphor. Because the speaker is overwhelmed by the amount of information and finds it difficult to process.,"metaphorical. The speaker is not referring to physically digesting information, but processing it mentally.",1
literal. Lack of lactase enzyme or lactose intolerance.,literal. Refers to the inability of the speaker's body to properly break down milk products.,0
"metaphor. To indicate eating quickly and easily, without difficulty or hesitation.","literal. ""Down"" is used to describe consuming food quickly, without any metaphorical comparison.",1
"literal. Describes physical action of subduing suspect, not metaphorical state of being down.","literal. The word ""downed"" indicates physically bringing someone to the ground in a forceful manner.",0
"metaphor. Intense physical activity depletes energy reserves, leaving the individual feeling fatigued and exhausted.",metaphorical. Energy cannot physically be drained from the body during exercise.,1
"literal. Literal action of water moving downward due to gravity into container, no symbolic meaning.",literal. The sentence describes the physical action of rain water flowing into a vat.,0
"metaphor. To convey a slow, gradual, aimless movement or change in direction.","metaphorical. Stocks cannot physically drift, indicating a gradual, aimless movement in the market.",1
"metaphor. The young man was aimless or adrift in the social setting, feeling out of place.","metaphor. The word ""drifted"" implies aimlessness and lack of purpose, suggesting a metaphorical interpretation.",1
"literal. Describing a physical action, no implied comparison or symbolism.","literal. The phrase describes physically moving boats downstream, not using a metaphorical meaning.",0
metaphor. Metaphorically represents absorbing or taking in something deeply and fully.,"metaphor. The mother is not physically drinking, but absorbing and enjoying her son's words.",1
"literal. To maintain hydration and health, fulfill bodily functions, and promote recovery and well-being.","literal. ""Drink"" is used in its literal sense to instruct the patient to consume fluids.",0
"metaphor. To escape or numb emotions, cope with stress, or avoid facing reality or problems.","metaphorical. The word ""drown"" is used to express drowning or overwhelming something, not literal drowning.",1
"literal. The child physically submerged in the water and suffocated, leading to death by drowning.","literal. The word ""drowned"" is used to describe a physical action of death by suffocation in water.",0
"literal. Literal action of unloading waste, not a metaphor for emotional or informational overload.","literal. The truck physically released the garbage into the street, not using a metaphor.",0
"metaphor. Results did not physically come out, but were discovered or revealed through the study.","literal. Results cannot physically emerge, indicating a metaphorical use of the word.",1
literal. - Indicates physically inscribing or etching the owner's name onto the pen for identification.,"literal. The word ""engrave"" is used literally in this sentence as it describes physically inscribing the name.",0
"literal. It refers to physically removing the formula from the blackboard, not a metaphorical action.","literal. The word ""erase"" is meant to be taken literally as it refers to physically removing the formula.",0
metaphor. To emphasize sudden and unexpected appearance or outbreak of the rash on her arms.,"literal. Physical reaction to plant contact, not a symbolic or figurative eruption.",1
"metaphor. Because unrest is not a physical phenomenon, but a sudden outburst of discontent or agitation.",literally. Refers to a sudden outbreak of unrest or violence in the country.,1
"literal. Pressure built up from carbon dioxide gas inside the bottle, causing it to burst.",literal. The champagne bottle physically burst open due to pressure buildup.,0
literal. The enemy physically detonated explosives to destroy the bridge.,"literal. The word ""exploded"" is describing a physical action of destruction on the bridge.",0
