sent1,sent2,label
literal. It is referring to the physical planning and arrangement of city transport systems.,metaphor. To emphasize the intentional planning and thought put into creating the trilobite habitat,0
"metaphor. The phrase ""crossed lines"" is used metaphorically to suggest confusion or disruption in city transport.","metaphor. Symbolizing conflict, chaos, and disruption in the urban environment",1
metaphor. Represents a plan or path for improving city transport system.,metaphor. To describe the movement of traffic and transportation routes in a figurative sense,1
"literal. Because it refers to an actual toy town tram system, not a metaphorical representation.","literal. Describing a physical location, not using ""toytown"" as a metaphor or symbol",0
"literal. The article is discussing the design of a real tram system, not a metaphorical concept.","literal. Describing a physical object or location, not a metaphorical concept or idea",0
literal. The article is discussing literal changes to city transport infrastructure.,"literal. Literal description of urban area, not symbolic or figurative language",0
"literal. The article is discussing actual transportation improvements in the city, not using a metaphor.",literal. Literal reference to movement of vehicles in a specific mode of transportation,0
literal. The statement is literal and refers to the possibility of improved city transport in the future.,literal. Expresses possibility or potential future action,0
literal. Indicates a high likelihood or probability of city transport improvements happening in the near future.,literal. Advancements in technology and urban planning make immediate use of this sentence likely,0
"literal. The verb ""be"" is used non-metaphorically to indicate the state or existence of city transport.",literal. Describing a future action or state of being,0
"metaphor. City transport is improving, returning to a better state than before.","metaphor. Trains are no longer in use, indicating a return to normalcy",1
"literal. It refers to the direction or alignment of city transport, not a metaphorical concept of correctness.",literal. Describes a logical or correct course of action or decision,0
"metaphor. Metaphor for progress, improvement, or alignment with goals or objectives.","metaphor. Metaphorically refers to progress or direction, suggesting improvement or alignment in urban planning",1
"literal. The word ""say"" is used non-metaphorically to indicate a statement or assertion made by Jonathan Glancey.",literal. Directly quoting someone's words,0
literal. - Modern trams have advanced technology and design for a smoother ride.,"literal. Because ""tram"" is used to describe the type of trains used by the author",0
literal. Modern trams are built with advanced technology and better suspension systems.,"literal. The statement is stating a fact, not comparing or representing something else",0
literal. - Improved technology,literal. Describing the geographical location of the trams and their behavior,0
"literal. Modern trams have advanced technology and smoother operations, reducing shaking, rattling, and rolling.",literal. Literal statement of familiarity with the trams and their behavior,0
literal. Improved technology and design reduce vibrations and noise in modern tram systems.,"literal. Because shake is used to describe the physical action of shaking or rattle, not metaphorically",0
"literal. Modern trams are built with advanced technology and materials, reducing noise and vibrations.","literal. Because rattle is a type of musical instrument, not a physical sound",0
"literal. Modern trams are built with advanced technology and design to minimize shaking, rattling, and rolling.","literal. Literal description of the physical behavior of the trams, not metaphorical or symbolic",0
literal. Modern trams have advanced suspension systems and smooth tracks for stability and comfort.,literal. Because it is describing the physical action of moving gracefully on the road,0
"metaphor. Efficient, stylish, environmentally friendly, suitable for urban areas, and low maintenance.","literal. Describing the physical appearance and construction of the houses, not using a metaphor",1
literal. Describing the physical structure and construction of the vehicles in a factual manner.,"literal. Describing the physical construction and appearance of the houses, not implying metaphorical solidity",0
"literal. Describing physical attributes of the bicycles, not implying someone physically constructing them.","literal. Describing the physical appearance of the houses, not using ""built"" metaphorically",0
"metaphor. Low emissions, efficient fuel consumption, and minimal impact on air quality and noise pollution.","metaphor. Soft, comforting, and gentle in demeanor, ideal for city transportation",1
literal. Electric bikes produce zero emissions and reduce the carbon footprint of the city.,"literal. Because it refers to the physical surroundings or quality of the surroundings, not a metaphorical concept",0
